Episode : 579 / 10000, Score : 586, Max Tile : 256, Average: 565.4, Loss : 0.000
Episode : 580 / 10000, Score : 582, Max Tile : 256, Average: 565.7, Loss : 0.000
Episode : 581 / 10000, Score : 580, Max Tile : 256, Average: 566.0, Loss : 0.000
Episode : 582 / 10000, Score : 584, Max Tile : 256, Average: 566.3, Loss : 0.000
Episode : 583 / 10000, Score : 582, Max Tile : 256, Average: 566.7, Loss : 0.000
Episode : 584 / 10000, Score : 582, Max Tile : 256, Average: 567.0, Loss : 0.000
Episode : 585 / 10000, Score : 584, Max Tile : 256, Average: 567.3, Loss : 0.000
Episode : 586 / 10000, Score : 584, Max Tile : 256, Average: 567.6, Loss : 0.000
Episode : 587 / 10000, Score : 600, Max Tile : 256, Average: 568.1, Loss : 0.000
Episode : 588 / 10000, Score : 584, Max Tile : 256, Average: 568.4, Loss : 0.000
Episode : 589 / 10000, Score : 584, Max Tile : 256, Average: 568.6, Loss : 0.000
Episode : 590 / 10000, Score : 582, Max Tile : 256, Average: 568.9, Loss : 0.000
Episode : 591 / 10000, Score : 590, Max Tile : 256, Average: 569.3, Loss : 0.000
Episode : 592 / 10000, Score : 590, Max Tile : 256, Average: 569.7, Loss : 0.000
Episode : 593 / 10000, Score : 584, Max Tile : 256, Average: 570.0, Loss : 0.000
Episode : 594 / 10000, Score : 584, Max Tile : 256, Average: 570.2, Loss : 0.000
Episode : 595 / 10000, Score : 562, Max Tile : 256, Average: 570.3, Loss : 0.000
Episode : 596 / 10000, Score : 588, Max Tile : 256, Average: 570.6, Loss : 0.000
Episode : 597 / 10000, Score : 568, Max Tile : 256, Average: 570.8, Loss : 0.000
Episode : 598 / 10000, Score : 586, Max Tile : 256, Average: 571.1, Loss : 0.000
Episode : 599 / 10000, Score : 586, Max Tile : 256, Average: 571.4, Loss : 0.000
Episode : 600 / 10000, Score : 588, Max Tile : 256, Average: 571.7, Loss : 0.000
Episode : 601 / 10000, Score : 612, Max Tile : 512, Average: 572.3, Loss : 0.000
Episode : 602 / 10000, Score : 586, Max Tile : 256, Average: 572.6, Loss : 0.000
Episode : 603 / 10000, Score : 590, Max Tile : 256, Average: 572.9, Loss : 0.000
Episode : 604 / 10000, Score : 588, Max Tile : 256, Average: 573.2, Loss : 0.000
Episode : 605 / 10000, Score : 610, Max Tile : 512, Average: 573.7, Loss : 0.000
Episode : 606 / 10000, Score : 594, Max Tile : 256, Average: 574.1, Loss : 0.000
Episode : 607 / 10000, Score : 590, Max Tile : 256, Average: 574.4, Loss : 0.000
Episode : 608 / 10000, Score : 594, Max Tile : 256, Average: 574.8, Loss : 0.000
Episode : 609 / 10000, Score : 588, Max Tile : 512, Average: 575.0, Loss : 0.000
Episode : 610 / 10000, Score : 592, Max Tile : 256, Average: 575.4, Loss : 0.000
Episode : 611 / 10000, Score : 592, Max Tile : 256, Average: 575.7, Loss : 0.000
Episode : 612 / 10000, Score : 606, Max Tile : 512, Average: 576.1, Loss : 0.000
Episode : 613 / 10000, Score : 596, Max Tile : 256, Average: 576.5, Loss : 0.000
Episode : 614 / 10000, Score : 594, Max Tile : 256, Average: 577.0, Loss : 0.000
Episode : 615 / 10000, Score : 602, Max Tile : 512, Average: 577.4, Loss : 0.000
Episode : 616 / 10000, Score : 596, Max Tile : 256, Average: 577.8, Loss : 0.000
Episode : 617 / 10000, Score : 598, Max Tile : 256, Average: 578.2, Loss : 0.000
Episode : 618 / 10000, Score : 592, Max Tile : 256, Average: 578.5, Loss : 0.000
Episode : 619 / 10000, Score : 596, Max Tile : 256, Average: 578.9, Loss : 0.000
Episode : 620 / 10000, Score : 594, Max Tile : 256, Average: 579.2, Loss : 0.000
Episode : 621 / 10000, Score : 596, Max Tile : 256, Average: 579.5, Loss : 0.000
Episode : 622 / 10000, Score : 598, Max Tile : 256, Average: 579.8, Loss : 0.000
Episode : 623 / 10000, Score : 594, Max Tile : 256, Average: 580.2, Loss : 0.000
Episode : 624 / 10000, Score : 598, Max Tile : 256, Average: 580.5, Loss : 0.000
Episode : 625 / 10000, Score : 610, Max Tile : 256, Average: 580.8, Loss : 0.000
Episode : 626 / 10000, Score : 596, Max Tile : 256, Average: 581.1, Loss : 0.000
Episode : 627 / 10000, Score : 620, Max Tile : 512, Average: 581.7, Loss : 0.000
Episode : 628 / 10000, Score : 596, Max Tile : 256, Average: 582.0, Loss : 0.000
Episode : 629 / 10000, Score : 556, Max Tile : 256, Average: 582.0, Loss : 0.000
Episode : 630 / 10000, Score : 592, Max Tile : 256, Average: 582.1, Loss : 0.000
Episode : 631 / 10000, Score : 596, Max Tile : 256, Average: 582.4, Loss : 0.000
Episode : 632 / 10000, Score : 594, Max Tile : 256, Average: 582.7, Loss : 0.000
Episode : 633 / 10000, Score : 598, Max Tile : 256, Average: 583.0, Loss : 0.000
Episode : 634 / 10000, Score : 602, Max Tile : 256, Average: 583.4, Loss : 0.000
Episode : 635 / 10000, Score : 598, Max Tile : 256, Average: 583.8, Loss : 0.000
Episode : 636 / 10000, Score : 602, Max Tile : 256, Average: 584.2, Loss : 0.000
Episode : 637 / 10000, Score : 400, Max Tile : 128, Average: 582.5, Loss : 0.003
Episode : 638 / 10000, Score : 598, Max Tile : 256, Average: 582.8, Loss : 0.001
Episode : 639 / 10000, Score : 596, Max Tile : 256, Average: 583.1, Loss : 0.002
Episode : 640 / 10000, Score : 598, Max Tile : 256, Average: 583.5, Loss : 0.004
Episode : 641 / 10000, Score : 598, Max Tile : 256, Average: 583.8, Loss : 0.001
Episode : 642 / 10000, Score : 600, Max Tile : 256, Average: 584.1, Loss : 0.003
Episode : 643 / 10000, Score : 604, Max Tile : 512, Average: 584.4, Loss : 0.002
Episode : 644 / 10000, Score : 600, Max Tile : 256, Average: 584.7, Loss : 0.004
Episode : 645 / 10000, Score : 600, Max Tile : 256, Average: 585.0, Loss : 0.004
Episode : 646 / 10000, Score : 616, Max Tile : 512, Average: 585.5, Loss : 0.002
Episode : 647 / 10000, Score : 602, Max Tile : 256, Average: 585.8, Loss : 0.002
Episode : 648 / 10000, Score : 606, Max Tile : 256, Average: 586.2, Loss : 0.002
Episode : 649 / 10000, Score : 600, Max Tile : 256, Average: 586.5, Loss : 0.004
Episode : 650 / 10000, Score : 606, Max Tile : 256, Average: 586.9, Loss : 0.002
Episode : 651 / 10000, Score : 602, Max Tile : 256, Average: 587.1, Loss : 0.004
Episode : 652 / 10000, Score : 598, Max Tile : 256, Average: 587.3, Loss : 0.002
